source,kind,checkpoint,manifest,macro_f1,recording_mean,osd_f1,acc,mae,f1_0,f1_1,f1_2,f1_3,f1_per_class,n_units,frames,ece,brier,mean_edit_score,mean_fragmentation_rate,per_corpus,pooled_transition_confusion
logs/diarizen_gap_check/ami_test_conf.json,confusion_100hz,,,0.7653940360683946,,0.8181114020797491,0.9100899854185999,0.09277378814194827,0.8910828495681414,0.944184483791958,0.7461960504853417,0.4801127604281373,"[0.8910828495681414, 0.944184483791958, 0.7461960504853417, 0.4801127604281373]",570,5066043,,,,,,
logs/diarizen_gap_check/dipco_eval_conf.json,confusion_100hz,,,0.4953213856036448,,0.5349521110050953,0.6687065558566414,0.38165743309081634,0.5247798221209885,0.7903482884635609,0.4001184271225652,0.2660390047074647,"[0.5247798221209885, 0.7903482884635609, 0.4001184271225652, 0.2660390047074647]",107,936979,,,,,,
logs/diarizen_gap_check/msdwild_manyval_conf.json,confusion_100hz,,,0.642140553470439,,0.7109651700021891,0.8283511642542479,0.18443813610815737,0.7467013213246604,0.8985275477062736,0.6095948305144997,0.3137385143363224,"[0.7467013213246604, 0.8985275477062736, 0.6095948305144997, 0.3137385143363224]",268,1474592,,,,,,
logs/diarizen_gap_check/voxconverse_voxlock_conf.json,confusion_100hz,,,0.6563862836224583,,0.6587577471237082,0.9351305985171788,0.06674206715433356,0.7815688413948925,0.963820026242807,0.6438929576114407,0.23626330924069325,"[0.7815688413948925, 0.963820026242807, 0.6438929576114407, 0.23626330924069325]",964,8072450,,,,,,
logs/fastconformer_frontloaded_s1234/eval/ami_test_conf.json,confusion_100hz,,,0.6547483926842889,,0.6851573851673932,0.8438799275884551,0.16185906831031635,0.785724713299342,0.9021686800509755,0.5823584318933521,0.34874174549348563,"[0.785724713299342, 0.9021686800509755, 0.5823584318933521, 0.34874174549348563]",570,5066043,,,,,,
logs/fastconformer_frontloaded_s1234/eval/dipco_eval_conf.json,confusion_100hz,,,0.5229543061458426,,0.5319455182910522,0.6927786001607293,0.3357407156403719,0.645480359182305,0.8067945393328751,0.38547700673838514,0.25406531932980503,"[0.645480359182305, 0.8067945393328751, 0.38547700673838514, 0.25406531932980503]",107,936979,,,,,,
logs/fastconformer_frontloaded_s1234/eval/msdwild_manyval_conf.json,confusion_100hz,,,0.5447307489745251,,0.5960867430018868,0.755331644278553,0.2747010698552549,0.6121970480245537,0.8548212278026768,0.48951559840117265,0.2223891216696972,"[0.6121970480245537, 0.8548212278026768, 0.48951559840117265, 0.2223891216696972]",268,1474592,,,,,,
logs/fastconformer_frontloaded_s1234/eval/voxconverse_voxlock_conf.json,confusion_100hz,,,0.5605378335353552,,0.5320933480396436,0.9195417748019499,0.08515196749437903,0.7275767675726443,0.9560601897216098,0.5221717174874901,0.036342659359676954,"[0.7275767675726443, 0.9560601897216098, 0.5221717174874901, 0.036342659359676954]",964,8072450,,,,,,
logs/fastconformer_hc6_s1234/eval/ami_conf.json,confusion_100hz,,,0.6559638698843098,,0.6839841593841571,0.8437295143369292,0.16192618183461924,0.786182776919242,0.902060106667733,0.5802025578161399,0.35541003813412425,"[0.786182776919242, 0.902060106667733, 0.5802025578161399, 0.35541003813412425]",570,5066043,,,,,,
logs/fastconformer_hc6_s1234/eval/dipco_conf.json,confusion_100hz,,,0.5253773381680436,,0.5290662414072221,0.6895757535654481,0.3390545572526172,0.6461188880434443,0.803735959596756,0.3794359663766232,0.27221853865535073,"[0.6461188880434443, 0.803735959596756, 0.3794359663766232, 0.27221853865535073]",107,936979,,,,,,
logs/fastconformer_hc6_s1234/eval/msdwild_conf.json,confusion_100hz,,,0.5455968009647837,,0.595533156811985,0.753038806666522,0.27832919207482476,0.6113030313737534,0.8538947571504365,0.4839204320659617,0.23326898326898327,"[0.6113030313737534, 0.8538947571504365, 0.4839204320659617, 0.23326898326898327]",268,1474592,,,,,,
logs/fastconformer_hc6_s1234/eval/vox_conf.json,confusion_100hz,,,0.5627181739858753,,0.5318291828545952,0.9192625534998669,0.08570149087327887,0.7253990550376708,0.9560122043712155,0.5201300630717391,0.04933137346287599,"[0.7253990550376708, 0.9560122043712155, 0.5201300630717391, 0.04933137346287599]",964,8072450,,,,,,
logs/fastconformer_hc6_s2345/eval/ami_test_conf.json,confusion_100hz,,,0.6545849214114495,,0.6803613132346413,0.8457977952417696,0.15921834852171607,0.7889145891314683,0.902808970721454,0.5784777868673827,0.34813833892549295,"[0.7889145891314683, 0.902808970721454, 0.5784777868673827, 0.34813833892549295]",570,5066043,,,,,,
logs/fastconformer_hc6_s2345/eval/dipco_eval_conf.json,confusion_100hz,,,0.5226086491695514,,0.5232164501404054,0.691915186999922,0.3377695764793021,0.632735571578937,0.805071709029167,0.380088921483247,0.2725383945868546,"[0.632735571578937, 0.805071709029167, 0.380088921483247, 0.2725383945868546]",107,936979,,,,,,
logs/fastconformer_hc6_s2345/eval/msdwild_manyval_conf.json,confusion_100hz,,,0.5630974900127408,,0.6056172244795376,0.7632850307067989,0.2658843937848571,0.6335763039278816,0.8585564302698282,0.4925903805832645,0.2676668452699887,"[0.6335763039278816, 0.8585564302698282, 0.4925903805832645, 0.2676668452699887]",268,1474592,,,,,,
logs/fastconformer_hc6_s2345/eval/voxconverse_voxlock_conf.json,confusion_100hz,,,0.5721184823843581,,0.5486428696107523,0.9214851748849482,0.08263315350358318,0.7305306710850253,0.9568581759314976,0.5329980203758715,0.06808706214503792,"[0.7305306710850253, 0.9568581759314976, 0.5329980203758715, 0.06808706214503792]",964,8072450,,,,,,
logs/fastconformer_hc6_s3456/eval/ami_test_conf.json,confusion_100hz,,,0.6598789837165967,,0.6824865983259664,0.8426981373825686,0.16299328687103523,0.7850819698661617,0.9016794880039739,0.5680731473115268,0.3846813296847245,"[0.7850819698661617, 0.9016794880039739, 0.5680731473115268, 0.3846813296847245]",570,5066043,,,,,,
logs/fastconformer_hc6_s3456/eval/dipco_eval_conf.json,confusion_100hz,,,0.5264964669806922,,0.5234681586325797,0.6959921193537956,0.33452724127221634,0.6333585667423669,0.8095753577003679,0.37209096903027566,0.2909609744497582,"[0.6333585667423669, 0.8095753577003679, 0.37209096903027566, 0.2909609744497582]",107,936979,,,,,,
logs/fastconformer_hc6_s3456/eval/msdwild_manyval_conf.json,confusion_100hz,,,0.5616355270522617,,0.5999064991141493,0.7569097079056444,0.2775425337991797,0.6379900968916818,0.8557169408687272,0.48029262651654836,0.2725424439320897,"[0.6379900968916818, 0.8557169408687272, 0.48029262651654836, 0.2725424439320897]",268,1474592,,,,,,
logs/fastconformer_hc6_s3456/eval/voxconverse_voxlock_conf.json,confusion_100hz,,,0.5642675203016134,,0.5265842049023735,0.9192203110579812,0.08659874015943116,0.7313978288405336,0.9560572482008285,0.5137912028792334,0.05582380128585814,"[0.7313978288405336, 0.9560572482008285, 0.5137912028792334, 0.05582380128585814]",964,8072450,,,,,,
logs/wavlm_hc6_causalhead_s1234_eval/ami_test_conf.json,confusion_100hz,,,0.6825882218186926,,0.7135913367855262,0.8454781748711836,0.16197295467668918,0.8006281719212076,0.9053142977296225,0.592271347509076,0.43213907011486447,"[0.8006281719212076, 0.9053142977296225, 0.592271347509076, 0.43213907011486447]",570,5063796,,,,,,
logs/wavlm_hc6_causalhead_s1234_eval/dipco_eval_conf.json,confusion_100hz,,,0.5492874963485554,,0.5810010898445013,0.6405238318954471,0.4039025796531989,0.6791067749650714,0.7602358015010642,0.39171500765151784,0.3660924012765684,"[0.6791067749650714, 0.7602358015010642, 0.39171500765151784, 0.3660924012765684]",107,936560,,,,,,
logs/wavlm_hc6_causalhead_s1234_eval/msdwild_manyval_conf.json,confusion_100hz,,,0.5600000021483628,,0.6180732688045089,0.7550650552576156,0.2793182903793126,0.5912734113028544,0.8558756383618066,0.5117017038969874,0.2811492550318027,"[0.5912734113028544, 0.8558756383618066, 0.5117017038969874, 0.2811492550318027]",268,1473824,,,,,,
logs/wavlm_hc6_causalhead_s1234_eval/voxconverse_voxlock_conf.json,confusion_100hz,,,0.5684586365057059,,0.5154872131980264,0.9215890061362345,0.08432352699140094,0.7342476503977089,0.9576185482562086,0.511454561019652,0.07051378634925418,"[0.7342476503977089, 0.9576185482562086, 0.511454561019652, 0.07051378634925418]",964,8068792,,,,,,
logs/wavlm_hc6_causalhead_s2345_eval/ami_test_conf.json,confusion_100hz,,,0.6875868148000484,,0.721487136264283,0.8528546568621643,0.15227193196566371,0.8003668389932823,0.909510664043194,0.6027435299344663,0.4377262262292506,"[0.8003668389932823, 0.909510664043194, 0.6027435299344663, 0.4377262262292506]",570,5063796,,,,,,
logs/wavlm_hc6_causalhead_s2345_eval/dipco_eval_conf.json,confusion_100hz,,,0.5640969135418951,,0.5809158006949474,0.674233364653626,0.35789164602374646,0.6738489597692617,0.7886517569742489,0.39648357675300394,0.39740336067106563,"[0.6738489597692617, 0.7886517569742489, 0.39648357675300394, 0.39740336067106563]",107,936560,,,,,,
logs/wavlm_hc6_causalhead_s2345_eval/msdwild_manyval_conf.json,confusion_100hz,,,0.585658441980296,,0.626465351985886,0.7695789999348633,0.2599184163102243,0.6483949777337952,0.8625672541676488,0.5138735934295601,0.3177979425901801,"[0.6483949777337952, 0.8625672541676488, 0.5138735934295601, 0.3177979425901801]",268,1473824,,,,,,
logs/wavlm_hc6_causalhead_s2345_eval/voxconverse_voxlock_conf.json,confusion_100hz,,,0.5765266595547762,,0.5083851680790235,0.9244387511786151,0.08113568920849615,0.7631408358684334,0.9587865376058642,0.500417905598225,0.08376135914658238,"[0.7631408358684334, 0.9587865376058642, 0.500417905598225, 0.08376135914658238]",964,8068792,,,,,,
logs/wavlm_hc6_causalhead_s3456_eval/ami_test_conf.json,confusion_100hz,,,0.6782449564415519,,0.7217366860664098,0.8449048895334647,0.16046302023225265,0.7766529306271703,0.9054886674833574,0.5969990377676209,0.4338391898880591,"[0.7766529306271703, 0.9054886674833574, 0.5969990377676209, 0.4338391898880591]",570,5063796,,,,,,
logs/wavlm_hc6_causalhead_s3456_eval/dipco_eval_conf.json,confusion_100hz,,,0.5673275595869732,,0.6003033469540535,0.6754014692064577,0.36142585632527546,0.6922495095374288,0.793569492538717,0.39945273252958896,0.38403850374215814,"[0.6922495095374288, 0.793569492538717, 0.39945273252958896, 0.38403850374215814]",107,936560,,,,,,
logs/wavlm_hc6_causalhead_s3456_eval/msdwild_manyval_conf.json,confusion_100hz,,,0.5625501132458276,,0.6235969820116621,0.7545894218034175,0.27654048244566515,0.5847603431751787,0.8549812679240776,0.5062465419683,0.304212299915754,"[0.5847603431751787, 0.8549812679240776, 0.5062465419683, 0.304212299915754]",268,1473824,,,,,,
logs/wavlm_hc6_causalhead_s3456_eval/voxconverse_voxlock_conf.json,confusion_100hz,,,0.5511865441934228,,0.46610887831039116,0.911979141363416,0.09712668265584241,0.7227749398706944,0.9528266140985566,0.4626324344644644,0.0665121883399759,"[0.7227749398706944, 0.9528266140985566, 0.4626324344644644, 0.0665121883399759]",964,8068792,,,,,,
logs/wavlm_hc6_s1234_eval/ami_test_conf.json,confusion_100hz,,,0.6916325652959048,,0.7300672171331644,0.855604965128927,0.15124463939700572,0.8166681892928924,0.9122789873657985,0.6043632170237387,0.43321986750118957,"[0.8166681892928924, 0.9122789873657985, 0.6043632170237387, 0.43321986750118957]",570,5063796,,,,,,
logs/wavlm_hc6_s1234_eval/dipco_eval_conf.json,confusion_100hz,,,0.5624060054838589,,0.6039802900902119,0.6640556931750234,0.3779159904330742,0.6735288780000908,0.7823731305850543,0.40812529074275083,0.38559672260753947,"[0.6735288780000908, 0.7823731305850543, 0.40812529074275083, 0.38559672260753947]",107,936560,,,,,,
