model,corpus,source,reference,n_windows,same_window_ids,reference_frames,model_frames,frame_shortfall,shortfall_percent,windows_with_different_gt_counts
ZipCount mask,ami,results/bootstrap/ami_zipcount.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
ZipCount mask,dipco,results/bootstrap/dipco_zipcount.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
ZipCount mask,voxlock,results/bootstrap/voxlock_zipcount.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
ZipCount mask,msdwild,results/bootstrap/msdwild_zipcount.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
ZipCount mask,ami,results/bootstrap/ami_mask_s2345.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
ZipCount mask,dipco,results/bootstrap/dipco_mask_s2345.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
ZipCount mask,voxlock,results/bootstrap/voxlock_mask_s2345.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
ZipCount mask,msdwild,results/bootstrap/msdwild_mask_s2345.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
ZipCount mask,ami,results/bootstrap/ami_mask_s3456.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
ZipCount mask,dipco,results/bootstrap/dipco_mask_s3456.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
ZipCount mask,voxlock,results/bootstrap/voxlock_mask_s3456.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
ZipCount mask,msdwild,results/bootstrap/msdwild_mask_s3456.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
Final stack only,ami,results/bootstrap/ami_only5_s1234.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
Final stack only,dipco,results/bootstrap/dipco_only5_s1234.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
Final stack only,voxlock,results/bootstrap/voxlock_only5_s1234.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
Final stack only,msdwild,results/bootstrap/msdwild_only5_s1234.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
Final stack only,ami,results/bootstrap/ami_only5_s2345.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
Final stack only,dipco,results/bootstrap/dipco_only5_s2345.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
Final stack only,voxlock,results/bootstrap/voxlock_only5_s2345.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
Final stack only,msdwild,results/bootstrap/msdwild_only5_s2345.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
Final stack only,ami,results/bootstrap/ami_only5_s3456.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
Final stack only,dipco,results/bootstrap/dipco_only5_s3456.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
Final stack only,voxlock,results/bootstrap/voxlock_only5_s3456.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
Final stack only,msdwild,results/bootstrap/msdwild_only5_s3456.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
Logmel scratch,ami,results/bootstrap/ami_logmel_s1234.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
Logmel scratch,dipco,results/bootstrap/dipco_logmel_s1234.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
Logmel scratch,voxlock,results/bootstrap/voxlock_logmel_s1234.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
Logmel scratch,msdwild,results/bootstrap/msdwild_logmel_s1234.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
Logmel scratch,ami,results/bootstrap/ami_logmel_s2345.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
Logmel scratch,dipco,results/bootstrap/dipco_logmel_s2345.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
Logmel scratch,voxlock,results/bootstrap/voxlock_logmel_s2345.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
Logmel scratch,msdwild,results/bootstrap/msdwild_logmel_s2345.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
Logmel scratch,ami,results/bootstrap/ami_logmel_s3456.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
Logmel scratch,dipco,results/bootstrap/dipco_logmel_s3456.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
Logmel scratch,voxlock,results/bootstrap/voxlock_logmel_s3456.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
Logmel scratch,msdwild,results/bootstrap/msdwild_logmel_s3456.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
Gate renorm,ami,results/bootstrap/ami_renorm_s1234.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
Gate renorm,dipco,results/bootstrap/dipco_renorm_s1234.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
Gate renorm,voxlock,results/bootstrap/voxlock_renorm_s1234.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
Gate renorm,msdwild,results/bootstrap/msdwild_renorm_s1234.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
Gate renorm,ami,results/bootstrap/ami_renorm_s2345.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
Gate renorm,dipco,results/bootstrap/dipco_renorm_s2345.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
Gate renorm,voxlock,results/bootstrap/voxlock_renorm_s2345.json,results/bootstrap/voxlock_diarizen.json,964,True,8072450,8064608,7842,0.09714522852417791,964
Gate renorm,msdwild,results/bootstrap/msdwild_renorm_s2345.json,results/bootstrap/msdwild_diarizen.json,268,True,1474592,1472312,2280,0.1546190403854083,268
Gate renorm,ami,results/bootstrap/ami_renorm_s3456.json,results/bootstrap/ami_diarizen.json,570,True,5066043,5061468,4575,0.09030716873109841,570
Gate renorm,dipco,results/bootstrap/dipco_renorm_s3456.json,results/bootstrap/dipco_diarizen.json,107,True,936979,936120,859,0.0916776149732278,107
